Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,99.730003,100.080002,97.070000,97.669998,83.504898,4566872
2018-12-07,98.250000,99.199997,97.690002,97.690002,83.522011,2540894
2018-12-10,97.250000,97.849998,96.510002,96.959999,82.897873,2873505
2018-12-11,97.620003,98.879997,97.610001,97.900002,83.701546,2849327
2018-12-12,98.040001,99.860001,98.040001,99.510002,85.078049,2656842
2018-12-13,99.790001,101.019997,99.550003,100.440002,85.873169,2298416
2018-12-14,99.349998,100.599998,99.120003,100.199997,85.667969,2063421
2018-12-17,100.500000,101.180000,98.839996,99.580002,85.137894,1961192
2018-12-18,99.360001,101.180000,99.129997,100.320000,85.770569,2343225
2018-12-19,100.379997,100.639999,99.389999,99.510002,85.078049,2623829
2018-12-20,98.320000,98.639999,97.110001,98.389999,84.120476,3725141
2018-12-21,98.220001,98.339996,97.110001,98.169998,83.932381,6667022
2018-12-27,98.000000,98.059998,94.970001,95.820000,81.923210,3107490
2018-12-28,96.330002,98.110001,96.330002,97.379997,83.256966,1702272
2019-01-02,97.019997,98.410004,95.650002,98.080002,83.855446,2195655
2019-01-03,97.269997,97.720001,95.070000,95.449997,81.606865,2582773
2019-01-04,96.440002,99.449997,96.160004,99.190002,84.804451,2722920
2019-01-07,99.900002,99.900002,96.510002,97.889999,83.692993,2523099
2019-01-08,97.830002,99.570000,97.809998,98.279999,84.026436,2431794
2019-01-09,98.790001,99.320000,97.919998,98.639999,84.334229,2040289
2019-01-10,98.019997,98.800003,97.580002,98.760002,84.436821,1895622
2019-01-11,98.949997,99.480003,97.339996,97.529999,83.385201,2385336
2019-01-14,97.209999,97.660004,96.510002,97.349998,83.231316,1871760
2019-01-15,98.260002,98.769997,97.150002,97.699997,83.530548,1653531
2019-01-16,98.139999,98.320000,96.900002,97.589996,83.436516,1834436
2019-01-17,96.910004,98.070000,96.730003,97.900002,83.701546,1768615
2019-01-18,98.610001,100.760002,98.500000,100.559998,85.975761,4269044
2019-01-21,100.300003,100.980003,100.080002,100.760002,86.146767,1274343
2019-01-22,100.099998,100.180000,98.620003,99.430000,85.009651,2155155
2019-01-23,98.949997,99.430000,98.260002,98.650002,84.342773,1907984
2019-01-24,98.650002,99.550003,98.110001,99.000000,84.642014,2141726
2019-01-25,99.769997,101.279999,99.699997,100.320000,85.770569,2543386
2019-01-28,100.000000,100.599998,99.489998,100.019997,85.514076,2110137
2019-01-29,100.000000,100.860001,99.360001,100.519997,85.941559,2418682
2019-01-30,100.000000,100.300003,98.190002,99.779999,85.308884,3871960
2019-01-31,96.150002,97.419998,94.839996,95.779999,85.131126,4034224
2019-02-01,95.620003,95.889999,94.760002,95.620003,84.988922,3355859
2019-02-04,95.510002,95.989998,94.000000,95.000000,84.437851,2278285
2019-02-05,95.050003,97.190002,95.000000,96.330002,85.619972,2987767
2019-02-06,95.800003,96.199997,95.370003,95.410004,84.802269,2308912
2019-02-07,94.690002,95.120003,92.739998,92.790001,82.473557,3367020
2019-02-08,92.500000,92.809998,90.849998,91.519997,81.344749,3072284
2019-02-11,92.029999,92.620003,91.610001,92.250000,81.993591,1875646
2019-02-12,93.000000,93.190002,92.150002,92.230003,81.975822,1754885
2019-02-13,92.519997,92.919998,91.839996,92.080002,81.842491,2010739
2019-02-14,92.889999,93.930000,92.250000,92.250000,81.993591,2628915
2019-02-15,92.099998,94.860001,91.820000,94.620003,84.100098,3201676
2019-02-18,94.250000,94.519997,93.510002,93.900002,83.460144,1501995
2019-02-19,93.769997,94.139999,93.139999,94.050003,83.593468,1822783
2019-02-20,93.839996,94.900002,93.839996,94.599998,84.082314,1807561
2019-02-21,94.949997,95.120003,94.040001,94.440002,83.940109,1635764
2019-02-22,94.760002,96.209999,94.419998,95.839996,85.184448,2479682
2019-02-25,96.480003,97.029999,95.889999,96.570000,85.833290,2201895
2019-02-26,97.000000,98.690002,96.879997,98.129997,87.219849,3031868
2019-02-27,97.610001,97.809998,96.260002,96.680000,85.931061,2223442
2019-02-28,95.910004,96.339996,95.300003,96.129997,85.442207,2503625
2019-03-01,96.900002,97.830002,96.620003,96.940002,86.162155,2208669
2019-03-04,97.400002,97.970001,97.050003,97.419998,86.588791,1892919
2019-03-05,97.250000,97.320000,96.519997,97.220001,86.411034,1711213
2019-03-06,96.830002,97.879997,96.660004,97.220001,86.411034,1364440
2019-03-07,96.980003,97.279999,95.809998,96.449997,85.726631,1842198
2019-03-08,95.870003,96.050003,94.599998,95.139999,84.562286,2214146
2019-03-11,95.349998,95.779999,94.680000,95.779999,85.131126,1444267
2019-03-12,96.400002,96.540001,95.769997,96.110001,85.424431,1836325
2019-03-13,95.930000,96.290001,95.529999,96.160004,85.468887,1917223
2019-03-14,96.250000,97.339996,96.150002,96.839996,86.073273,2014203
